Date,Temperature (°C),Humidity (%),Precipitation (mm),Dewpoint (°C),Atmospheric Pressure (hPa),Surface Pressure (hPa),Windspeed (m/s),Wind Gusts (m/s),Cloudcover (%),Evapotranspiration (mm),Soil Type,Crops Grown,X,Y,Soil ph value,Soil Carbon,Nitrogen,temperature_2m (°C),relative_humidity_2m (%),soil_temperature_18cm (°C),Soil Moisture
1/1/87 0:00,9.257171575,37.16235403,2.585011938,11.61322612,1006.233592,1002.844157,8.281286303,13.3863888,31.02635051,2.567468905,Clay,Wheat,-120.654335,36.3779449,4.8,1.1,60,38.1,17,29.4,6.7
2/1/87 0:00,31.45917024,77.6096984,3.032363863,11.30966421,1000.142486,1017.553626,6.366301119,6.109848033,47.95318604,3.260234741,Clay,Wheat,-120.757361,36.732806,4.8,1.1,58,26.7,43,30.1,7.75
3/1/87 0:00,33.19902702,42.13581504,2.317054765,13.22134033,1011.249258,1013.363216,7.356510232,5.715950071,15.40564842,1.518451807,Clay,Wheat,-120.76025,36.731861,4.8,1.1,58,22.6,53,28.8,8.7
4/1/87 0:00,18.95341676,77.17877869,1.966305396,17.67771313,1000.425317,1024.718255,1.239603986,8.860887188,21.74165252,4.014233637,Clay,Wheat,-119.6151396,37.5074304,4.8,1.1,139,34,34,28.2,7.75
5/1/87 0:00,6.036840955,84.74931402,2.452334555,22.79699622,1007.544067,1002.270253,4.402904633,14.63064028,55.30218827,4.791577564,Clay,Wheat,-119.6050034,37.5107765,7.2,3.6,264,43.3,15,32.1,7.05
6/1/87 0:00,6.036840955,84.74931402,2.452334555,22.79699622,1007.544067,1002.270253,4.402904633,14.63064028,55.30218827,4.791577564,Clay,Wheat,-119.3320111,35.8618528,7.6,21.9,58,42.6,16,32.6,7.8
7/1/87 0:00,6.036840955,84.74931402,2.452334555,22.79699622,1007.544067,1002.270253,4.402904633,14.63064028,55.30218827,4.791577564,Clay,Wheat,-119.3320541,35.87052155,5.6,22.2,60,40.8,19,32.9,8.3
8/1/87 0:00,6.036840955,84.74931402,2.452334555,22.79699622,1007.544067,1002.270253,4.402904633,14.63064028,55.30218827,4.791577564,Clay,Wheat,-119.3320111,35.8618528,6.7,0.2,56,38.1,20,33.1,7.9
9/1/87 0:00,6.036840955,84.74931402,2.452334555,22.79699622,1007.544067,1002.270253,4.402904633,14.63064028,55.30218827,4.791577564,Clay,Wheat,-119.0620972,35.9010361,3.4,2.4,264,35.8,25,33.2,7.9
10/1/87 0:00,6.036840955,84.74931402,2.452334555,22.79699622,1007.544067,1002.270253,4.402904633,14.63064028,55.30218827,4.791577564,Clay,Wheat,-119.3320111,35.8618528,5.3,13.1,264,34.2,29,33.1,6.15
